School catchment context,Age bin,count,within_group_pct
Inside 1-mile school catchment,0-2,100,1.65371258475277
Inside 1-mile school catchment,3-5,100,1.65371258475277
Inside 1-mile school catchment,6-8,128,2.1167521084835457
Inside 1-mile school catchment,9-11,206,3.406647924590706
Inside 1-mile school catchment,12-14,314,5.192657516123698
Inside 1-mile school catchment,15-17,406,6.714073094096245
Inside 1-mile school catchment,18-20,351,5.804531172482222
Inside 1-mile school catchment,21-23,309,5.109971886886059
Inside 1-mile school catchment,24-26,347,5.738382669092112
Inside 1-mile school catchment,27-29,301,4.9776748801058375
Inside 1-mile school catchment,30-32,348,5.75491979493964
Inside 1-mile school catchment,33-35,372,6.151810815280304
Inside 1-mile school catchment,36-38,301,4.9776748801058375
Inside 1-mile school catchment,39-41,281,4.646932363155284
Inside 1-mile school catchment,42-44,249,4.117744336034397
Inside 1-mile school catchment,45-47,213,3.5224078055234
Inside 1-mile school catchment,48-50,197,3.2578137919629566
Inside 1-mile school catchment,51-53,182,3.0097569042500414
Inside 1-mile school catchment,54-56,227,3.753927567388788
Inside 1-mile school catchment,57-59,206,3.406647924590706
Inside 1-mile school catchment,60-62,213,3.5224078055234
Inside 1-mile school catchment,63-65,208,3.4397221762857617
Inside 1-mile school catchment,66-68,147,2.430957499586572
Inside 1-mile school catchment,69-71,96,1.5875640813626593
Inside 1-mile school catchment,72-74,74,1.22374731271705
Inside 1-mile school catchment,75-77,75,1.2402844385645775
Inside 1-mile school catchment,78-80,40,0.661485033901108
Inside 1-mile school catchment,81-83,32,0.5291880271208864
Inside 1-mile school catchment,84-86,11,0.1819083843228047
Inside 1-mile school catchment,87-89,8,0.1322970067802216
Inside 1-mile school catchment,90-92,2,0.0330742516950554
Inside 1-mile school catchment,93-95,1,0.0165371258475277
Inside 1-mile school catchment,96-98,2,0.0330742516950554
Outside 1-mile school catchment,0-2,14,1.235657546337158
Outside 1-mile school catchment,3-5,5,0.44130626654898497
Outside 1-mile school catchment,6-8,13,1.1473962930273611
Outside 1-mile school catchment,9-11,23,2.0300088261253313
Outside 1-mile school catchment,12-14,32,2.824360105913504
Outside 1-mile school catchment,15-17,51,4.501323918799647
Outside 1-mile school catchment,18-20,76,6.707855251544571
Outside 1-mile school catchment,21-23,73,6.44307149161518
Outside 1-mile school catchment,24-26,73,6.44307149161518
Outside 1-mile school catchment,27-29,64,5.648720211827008
Outside 1-mile school catchment,30-32,57,5.030891438658429
Outside 1-mile school catchment,33-35,63,5.560458958517211
Outside 1-mile school catchment,36-38,63,5.560458958517211
Outside 1-mile school catchment,39-41,50,4.41306266548985
Outside 1-mile school catchment,42-44,46,4.060017652250663
Outside 1-mile school catchment,45-47,40,3.5304501323918798
Outside 1-mile school catchment,48-50,33,2.912621359223301
Outside 1-mile school catchment,51-53,39,3.442188879082083
Outside 1-mile school catchment,54-56,41,3.618711385701677
Outside 1-mile school catchment,57-59,31,2.736098852603707
Outside 1-mile school catchment,60-62,52,4.5895851721094445
Outside 1-mile school catchment,63-65,49,4.324801412180053
Outside 1-mile school catchment,66-68,43,3.795233892321271
Outside 1-mile school catchment,69-71,26,2.2947925860547222
Outside 1-mile school catchment,72-74,20,1.7652250661959399
Outside 1-mile school catchment,75-77,15,1.323918799646955
Outside 1-mile school catchment,78-80,11,0.9708737864077669
Outside 1-mile school catchment,81-83,10,0.8826125330979699
Outside 1-mile school catchment,84-86,6,0.529567519858782
Outside 1-mile school catchment,87-89,12,1.059135039717564
Outside 1-mile school catchment,90-92,0,0.0
Outside 1-mile school catchment,93-95,2,0.176522506619594
Outside 1-mile school catchment,96-98,0,0.0
