map_context,condition,County,cell_id,count,share_of_condition_pct,centroid_lat,centroid_lon
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,1,2,0.03445305770887166,39.30022547304512,-76.7091558618038
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,2,2,0.03445305770887166,39.316428113599784,-76.70936403474778
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,5,4,0.06890611541774332,39.364363039735345,-76.70998169981401
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,7,7,0.12058570198105081,39.28431898758462,-76.69629754288009
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,8,11,0.18949181739879414,39.30053148780086,-76.69668888292183
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,9,2,0.03445305770887166,39.316743939465006,-76.6970805389233
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,10,29,0.49956933677863913,39.3329563425687,-76.69747251116517
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,11,32,0.5512489233419465,39.34916869710359,-76.69786479992854
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,12,13,0.2239448751076658,39.36461642408468,-76.69827320239372
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,13,11,0.18949181739879414,39.26935526716487,-76.67417746938408
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,14,27,0.46511627906976744,39.28462112248585,-76.67543556962353
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,15,34,0.5857019810508183,39.300833796063145,-76.67582210228102
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,16,24,0.4134366925064599,39.31704642116726,-76.67620894702067
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,17,46,0.7924203273040482,39.33325899778991,-76.67659610411974
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,18,41,0.7062876830318691,39.3494715259228,-76.67698357385588
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,19,2,0.03445305770887166,39.3647746992524,-76.67738460842762
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,20,9,0.15503875968992248,39.25625895876583,-76.65177895981141
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,21,15,0.2583979328165375,39.26870662831612,-76.65419186749622
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,22,50,0.8613264427217916,39.28491952149937,-76.65457328456179
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,23,62,1.0680447889750215,39.30113236629558,-76.65495500955812
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,24,70,1.2058570198105083,39.31734516269655,-76.65533704275869
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,25,22,0.3789836347975883,39.33355791069405,-76.65571938443732
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,26,9,0.15503875968992248,39.34977061027987,-76.65610203486818
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,27,3,0.05167958656330749,39.36492923217024,-76.65649580878397
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,29,15,0.2583979328165375,39.253111681602434,-76.63260730747238
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,30,18,0.31007751937984496,39.2690011222766,-76.63333407856358
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,31,99,1.7054263565891472,39.28521418445961,-76.63371069156936
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,32,82,1.4125753660637381,39.30142719833244,-76.63408760863103
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,33,65,1.119724375538329,39.31764016388697,-76.63446483001869
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,34,36,0.6201550387596899,39.33385308111506,-76.63484235600268
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,35,15,0.2583979328165375,39.35006595000861,-76.63522018685377
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,36,1,0.01722652885443583,39.365080065636924,-76.63560681022892
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,38,29,0.49956933677863913,39.23873002991626,-76.60988889200725
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,39,5,0.08613264427217916,39.253078604894256,-76.6121044770829
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,40,21,0.3617571059431524,39.26929188216174,-76.61247598584475
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,41,254,4.375538329026702,39.28550511120301,-76.61284779452106
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,42,148,2.5495262704565027,39.301718292010015,-76.61321990337808
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,43,89,1.533161068044789,39.317931424574695,-76.61359231268241
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,44,31,0.5340223944875108,39.334144508889,-76.61396502270102
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,45,38,0.6546080964685617,39.3503575449449,-76.6143380337012
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,46,18,0.31007751937984496,39.36522719179882,-76.61471763284723
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,48,6,0.10335917312661498,39.22207376706894,-76.58883913556072
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,49,6,0.10335917312661498,39.237151975848306,-76.5908844729149
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,51,11,0.18949181739879414,39.26957890781021,-76.59161759321151
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,52,86,1.4814814814814816,39.28579230156812,-76.5919845972921
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,53,110,1.8949181739879413,39.3020056471667,-76.59235189767784
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,54,56,0.9646856158484065,39.31821894459796,-76.59271949463194
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,55,28,0.48234280792420325,39.334432193853935,-76.59308738841784
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,56,21,0.3617571059431524,39.35064539492668,-76.59345557929946
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,57,15,0.2583979328165375,39.36537057422428,-76.5938282799318
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,62,4,0.06890611541774332,39.26986219906274,-76.570758904536
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,63,55,0.9474590869939706,39.286075755395544,-76.57112110375805
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,64,59,1.016365202411714,39.30228926364297,-76.57148359540936
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,65,42,0.7235142118863048,39.31850272379711,-76.57184637974966
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,66,19,0.32730404823428083,39.334716135850066,-76.57220945703904
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,67,16,0.27562446167097326,39.35092949979397,-76.57257282753787
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,68,15,0.2583979328165375,39.365510206707725,-76.57293875187622
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,73,8,0.13781223083548663,39.27014175576219,-76.54989992369066
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,74,28,0.48234280792420325,39.286355472527966,-76.55025731779479
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,75,10,0.17226528854435832,39.302569141281346,-76.55061500045193
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,76,22,0.3789836347975883,39.3187827620145,-76.55097297191838
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,77,22,0.3789836347975883,39.33499633471963,-76.55133123245079
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,78,19,0.32730404823428083,39.35120985938891,-76.55168978230611
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,79,17,0.29285099052540914,39.365646089152264,-76.55204905507071
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,83,1,0.01722652885443583,39.25418157234485,-76.53446240446132
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,84,8,0.13781223083548663,39.270395832840165,-76.53463049234054
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,85,17,0.29285099052540914,39.28661020031387,-76.53479878174575
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,86,2,0.03445305770887166,39.30282467529639,-76.53496725750307
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,87,4,0.06890611541774332,39.31903925629105,-76.53513576028368
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Baltimore City,88,2,0.03445305770887166,39.335253854904,-76.53530440617376
